,2gram,Freq,Group,Satisfaction,id
0,muchas gracias,17,Soporte OFFCORSS,good,sop
1,excelente atención,9,Soporte OFFCORSS,good,sop
2,excelente servicio,7,Soporte OFFCORSS,good,sop
3,buena atención,7,Soporte OFFCORSS,good,sop
4,buen servicio,7,Soporte OFFCORSS,good,sop
5,esperando pedido,6,Soporte OFFCORSS,bad,sop
6,buenas tardes,5,Soporte OFFCORSS,bad,sop
7,servicio cliente,5,Soporte OFFCORSS,bad,sop
8,atención cliente,5,Soporte OFFCORSS,bad,sop
9,pésimo servicio,5,Soporte OFFCORSS,bad,sop
10,excelente servicio,28,Call Center,good,cc
11,buen servicio,17,Call Center,good,cc
12,muchas gracias,15,Call Center,good,cc
13,buena atención,11,Call Center,good,cc
14,excelente atención,6,Call Center,good,cc
15,servicio cliente,12,Call Center,bad,cc
16,pésimo servicio,6,Call Center,bad,cc
17,dieron respuesta,5,Call Center,bad,cc
18,publicidad engañosa,5,Call Center,bad,cc
19,dado respuesta,4,Call Center,bad,cc
20,muchas gracias,12,Tienda Virtual,good,tvir
21,buen servicio,10,Tienda Virtual,good,tvir
22,excelente atención,8,Tienda Virtual,good,tvir
23,excelente servicio,7,Tienda Virtual,good,tvir
24,servicio rápido,4,Tienda Virtual,good,tvir
25,servicio cliente,11,Tienda Virtual,bad,tvir
26,mala atención,4,Tienda Virtual,bad,tvir
27,pésimo servicio,4,Tienda Virtual,bad,tvir
28,atención cliente,4,Tienda Virtual,bad,tvir
29,tratando comunicarme,4,Tienda Virtual,bad,tvir
30,excelente servicio,6,Venta Directa,good,vdir
31,buena atención,5,Venta Directa,good,vdir
32,mil gracias,3,Venta Directa,good,vdir
33,muchas gracias,2,Venta Directa,good,vdir
34,servicio gracias,2,Venta Directa,good,vdir
35,triste ver,2,Venta Directa,bad,vdir
36,hola lento,1,Venta Directa,bad,vdir
37,lento solicitud,1,Venta Directa,bad,vdir
38,solicitud 23,1,Venta Directa,bad,vdir
39,23 28,1,Venta Directa,bad,vdir
